series_name,series_id,new_datapoints_added
ECT@MAU.Q,51688,1
ECT@NBI.M,51690,2
ECT@NBI.Q,51691,1
ECTBLNS@HI.M,51697,1
ECTNS@NBI.M,51710,1
ECTNS@NBI.Q,51711,1
ECTSA@HI.Q,51714,1
ECTSPNS@HI.M,51718,1
ECTSPNS@HON.M,51721,1
EED12NS@HI.M,51733,1
EED12NS@HON.M,51736,1
EED@HI.Q,51746,1
EEDNS@HON.Q,51747,1
EED@MAU.Q,51750,1
EEDNS@NBI.M,51759,1
EEDNS@NBI.Q,51760,1
EEDSA@HI.Q,51761,1
EFI@HI.Q,51781,1
EFINS@HON.Q,51782,1
EFI@HON.Q,51784,1
EFI@MAU.Q,51785,1
EFI@NBI.M,51788,2
EFI@NBI.Q,51789,1
EFINS@NBI.M,51817,1
EFINS@NBI.Q,51818,1
EGVNS@HI.Q,51848,1
EGVNS@HON.Q,51850,1
EGV@HON.Q,51852,1
EGV@MAU.Q,51857,1
EGVFDNS@HI.Q,51879,1
EGVFD@HI.Q,51881,1
EGVFDNS@HON.Q,51882,1
EGVFD@HON.Q,51884,1
EGVFD@MAU.Q,51885,1
EGVFD@NBI.M,51888,2
EGVFD@NBI.Q,51889,1
EGVFDDDNS@HI.M,51918,2
EGVFDDDNS@HI.Q,51919,1
EGVFDDDNS@HON.M,51921,1
EGVFDDDNS@NBI.M,51931,1
EGVFDDDNS@NBI.Q,51932,1
EGVFDNS@NBI.M,51946,1
EGVFDNS@NBI.Q,51947,1
EGVFDSA@HI.Q,51970,1
EGVFDSPNS@HI.M,51971,1
EGVFDSPNS@HON.M,51974,1
EGVLC@HI.Q,51999,1
EGVLC@HON.Q,52002,1
EGVLC@MAU.Q,52007,1
EGVLC@NBI.M,52009,1
EGVLC@NBI.Q,52010,1
EGVLCSA@HI.Q,52030,1
EGVNS@NBI.M,52041,1
EGVNS@NBI.Q,52042,1
EGVSA@HI.M,52045,2
EGVSA@HI.Q,52046,1
EGVST@HI.Q,52066,1
EGVST@HON.Q,52069,1
EGVST@MAU.Q,52074,1
EGVST@NBI.M,52076,1
EGVST@NBI.Q,52077,1
EGVSTEDNS@HI.M,52092,1
EGVSTEDNS@HON.M,52095,1
EGVSTSA@HI.Q,52135,1
EHCNS@HI.Q,52138,1
EHC@HI.Q,52140,1
EHC@HON.Q,52143,1
EHC@MAU.Q,52148,1
EHC@NBI.M,52150,2
EHC@NBI.Q,52151,1
EHCAMNS@HI.M,52157,1
EHCAMNS@HON.M,52160,2
EHCAMNS@HON.Q,52161,1
EHCAMNS@NBI.M,52164,1
EHCAMNS@NBI.Q,52165,1
EHCHONS@HI.M,52166,2
EHCHONS@HI.Q,52167,1
EHCHONS@HON.M,52169,1
EHCHONS@NBI.M,52173,1
EHCHONS@NBI.Q,52174,1
EHCNRNS@HI.M,52175,1
EHCNS@NBI.M,52178,1
EHCNS@NBI.Q,52179,1
EHCSA@HI.Q,52180,1
EHCSONS@HI.M,52181,1
EHCSOIFNS@HI.M,52184,2
EHCSOIFNS@HI.Q,52185,1
EIFNS@HI.Q,52188,1
EIF@HI.Q,52190,1
EIFNS@HON.Q,52191,1
EIF@MAU.Q,52194,1
EIFTCNS@HI.M,52210,2
EIFTCNS@HI.Q,52211,1
EIFTCNS@HON.M,52213,1
EIFTCNS@NBI.M,52223,1
EIFTCNS@NBI.Q,52224,1
EMA@HI.Q,52227,1
EMA@MAU.Q,52230,1
EMN@HI.Q,52267,1
EMN@HON.Q,52270,1
EMN@MAU.Q,52275,1
EMN@NBI.M,52277,1
EMN@NBI.Q,52278,1
EMNDRNS@HI.M,52300,1
EMNDRNS@HON.M,52303,1
EMNNDNS@HI.M,52378,1
EMNNDNS@HON.M,52381,1
EMNSA@HI.Q,52486,1
EMPL@CA.M,52502,2
EMPL@CA.Q,52503,1
EMPL@HAW.Q,52511,1
EMPL@HI.Q,52513,1
EMPL@HON.Q,52517,1
EMPL@KAU.Q,52524,1
EMPL@MAU.Q,52528,1
EMPL@NBI.M,52530,2
EMPL@NBI.Q,52531,1
EMPLNS@HI.Q,52550,1
EMPLNS@NBI.M,52554,2
EMPLNS@NBI.Q,52555,1
EMPLSA@HI.Q,52556,1
ENF@CA.M,52557,2
ENF@CA.Q,52558,1
ENFNS@CA.M,52559,2
ENFNS@CA.Q,52560,1
EOS@HI.Q,52579,1
EOS@MAU.Q,52585,1
EOSSA@HI.Q,52596,1
EPS@HI.Q,52601,1
EPSNS@HON.Q,52602,1
EPS@MAU.Q,52606,1
EPSNS@NBI.M,52614,1
EPSNS@NBI.Q,52615,1
EPSSA@HI.Q,52616,1
ERENS@HI.Q,52619,1
ERE@HI.Q,52621,1
ERE@HON.Q,52624,1
ERE@MAU.Q,52629,1
ERE@NBI.M,52631,2
ERE@NBI.Q,52632,1
ERENS@NBI.M,52638,1
ERENS@NBI.Q,52639,1
ERESA@HI.Q,52640,1
ERTNS@HI.Q,52658,1
ERT@HI.Q,52660,1
ERT@MAU.Q,52667,1
ERTCLNS@HI.M,52683,1
ERTFDNS@HI.M,52722,1
ERTFDNS@HON.M,52725,1
ERTFDGSNS@HI.M,52738,1
ERTFDGSNS@HON.M,52741,1
ERTGMNS@HI.M,52774,1
ERTGMNS@HON.M,52777,1
ERTGMDSNS@HI.M,52790,1
ERTGMDSNS@HON.M,52793,1
ERTNS@NBI.M,52833,1
ERTNS@NBI.Q,52834,1
ERTSA@HI.Q,52847,1
ETWNS@HI.M,53144,1
ETW@HI.M,53149,1
ETW@HI.Q,53150,1
ETWNS@HON.M,53151,1
ETW@HON.M,53156,1
ETW@HON.Q,53157,1
ETW@NBI.M,53159,1
ETW@NBI.Q,53160,1
ETWTANS@HI.M,53171,1
ETWTANS@HON.M,53174,1
EUTNS@HI.M,53186,1
EUTNS@HI.Q,53187,1
EUT@HI.M,53189,1
EUT@HI.Q,53190,1
EUT@HON.M,53194,1
EUT@HON.Q,53195,1
EUT@NBI.M,53197,1
EUT@NBI.Q,53198,1
EUTNS@NBI.M,53204,1
EUTNS@NBI.Q,53205,1
EWT@HI.Q,53225,1
EWT@MAU.Q,53230,1
EWTSA@HI.Q,53252,1
E_EDHCNS@HI.M,53259,2
E_EDHCNS@HI.Q,53260,1
E_EDHC@HI.Q,53262,1
E_EDHCNS@HON.M,53263,2
E_EDHCNS@HON.Q,53264,1
E_EDHC@MAU.Q,53272,1
E_EDHCNS@NBI.M,53279,1
E_EDHCNS@NBI.Q,53280,1
E_EDHCSA@HI.Q,53281,1
E_TTU@HAW.Q,53287,1
E_TRADENS@HI.M,53288,1
E_FIRNS@HI.M,53289,2
E_ELSENS@HI.M,53290,2
E_NFNS@HI.Q,53291,1
E_TRADENS@HI.Q,53292,1
E_FIRNS@HI.Q,53293,1
E_ELSENS@HI.Q,53294,2
E_SVNS@HI.M,53295,1
E_SVNS@HI.Q,53296,1
E_NF@HI.Q,53299,1
E_TTU@HI.Q,53300,1
E_FIR@HI.Q,53301,1
E_FIRNS@HON.M,53303,2
E_SVNS@HON.M,53304,1
E_SVNS@HON.Q,53305,1
E_SV@HON.M,53308,2
E_ELSE@HON.M,53309,2
E_TTU@HON.Q,53310,1
E_FIR@HON.Q,53311,1
E_SV@HON.Q,53312,1
E_ELSE@HON.Q,53313,1
E_TTU@KAU.Q,53319,1
E_SV@MAU.M,53325,2
E_ELSE@MAU.M,53326,2
E_TTU@MAU.Q,53327,1
E_FIR@MAU.Q,53328,1
E_SV@MAU.Q,53329,1
E_ELSE@MAU.Q,53330,1
E_ELSENS@HON.M,53337,1
E_FIRNS@HON.Q,53339,1
E_ELSENS@HON.Q,53340,1
E_ELSENS@NBI.M,53351,1
E_ELSENS@NBI.Q,53352,1
E_FIR@NBI.M,53359,2
E_FIR@NBI.Q,53360,1
E_FIRSA@HI.Q,53368,1
E_GDSPRNS@HI.M,53382,1
E_GDSPR@HI.M,53385,1
E_GDSPR@HI.Q,53386,1
E_GDSPRNS@HON.M,53387,2
